,uid,anime_uid,score
0,255938,34096,8
1,259117,34599,10
2,253664,28891,7
3,8254,2904,9
4,291149,4181,10
5,10046,2904,10
6,247454,16664,6
7,140903,2904,8
8,23791,2904,10
9,25115,4181,4
10,116775,4672,8
11,280224,4181,9
12,181043,4181,10
13,259091,34599,8
14,259195,34599,9
15,210404,5114,10
16,262977,30276,8
17,262994,30276,10
18,214997,30276,7
19,173551,4181,10
20,249034,4181,5
21,277693,4181,10
22,42799,8038,10
23,86265,4181,9
24,19642,4181,10
25,89373,4181,10
26,177543,4181,9
27,87849,4181,9
28,88705,4181,5
29,19654,4181,10
30,307212,1253,8
31,303667,1425,7
32,147919,1425,7
33,189368,1425,6
34,125071,1425,6
35,96877,7588,7
36,136093,7588,7
37,29323,7588,7
38,291833,7588,9
39,256076,7588,10
40,203476,7588,10
41,322434,7588,10
42,61381,7588,7
43,198178,7588,9
44,280474,7588,9
45,305660,7588,7
46,114315,7588,7
47,250460,1425,10
48,122611,1425,9
49,58169,1425,9
50,294240,20767,7
51,149021,20767,8
52,158053,20767,7
53,137163,20767,7
54,208674,20767,4
55,282887,20767,8
56,142559,20767,8
57,156569,20767,9
58,30968,1253,9
59,292234,1253,5
60,33404,7588,10
61,73395,7588,9
62,179169,7588,9
63,79196,7588,9
64,27987,7588,7
65,109903,7588,8
66,31602,7588,8
67,194830,7588,8
68,56359,7588,9
69,27875,7588,10
70,26665,7588,5
71,27448,7588,9
72,27976,7588,8
73,38440,7588,9
74,240724,7588,9
75,119137,7588,9
76,28745,7588,9
77,181077,7588,8
78,27501,7588,9
79,27850,7588,8
80,180408,4181,10
81,62909,4181,10
82,219434,4181,10
83,102547,4181,4
84,192431,4181,10
85,35445,4181,10
86,47887,4181,10
87,180915,4181,9
88,47393,4181,10
89,203298,4181,9
90,53631,4181,10
91,307961,35363,5
92,286958,22673,10
93,89149,6862,8
94,206363,451,8
95,37548,9563,7
96,318322,30364,6
97,294657,33280,8
98,286043,33280,8
99,324123,36369,8
100,306507,27633,10
101,27223,8609,8
102,291435,34944,5
103,284453,36214,10
104,287119,36214,6
105,192647,5680,8
106,277193,31637,2
107,322537,31637,5
108,171871,552,9
109,27004,552,9
110,317667,36214,6
111,325487,36214,7
112,225747,552,9
113,115439,552,9
114,287828,552,6
115,66927,552,8
116,80410,552,9
117,202384,5680,10
118,237315,5680,6
119,279583,5680,8
120,317015,5680,8
121,281349,5680,10
122,261297,5680,9
123,323069,5680,8
124,248579,5680,2
125,264853,5680,9
126,304105,5680,1
127,305383,5680,7
128,241459,5680,8
129,52145,5680,8
130,56853,5680,10
131,238590,5680,5
132,251708,5680,8
133,251970,5680,4
134,282727,5680,5
135,257387,5680,10
136,15849,5680,8
137,241166,5680,7
138,325629,5680,9
139,241583,5680,6
140,265567,5680,8
141,88745,5680,9
142,84835,5680,10
143,198039,5680,8
144,104265,5680,9
145,231185,5680,7
146,232989,5680,10
147,234199,5680,10
148,271302,5680,8
149,158021,5680,9
150,120501,5680,10
151,146235,5680,9
152,30431,5680,7
153,230923,5680,9
154,17401,5680,7
155,223432,5680,9
156,95507,5680,6
157,110563,5680,10
158,101433,5680,9
159,113583,5680,10
160,205817,5680,7
161,116603,5680,9
162,119131,5680,7
163,102883,5680,8
164,101505,5680,7
165,57005,5680,7
166,98211,5680,9
167,270074,5680,9
168,222354,5680,8
169,32090,5680,8
170,79950,5680,9
171,227816,5680,10
172,226031,5680,8
173,136603,5680,8
174,120467,5680,8
175,224328,5680,10
176,235295,5680,7
177,233416,5680,7
178,237000,5680,10
179,237430,5680,7
180,248813,5680,5
181,250070,5680,8
182,256285,5680,9
183,252929,5680,7
184,266788,5680,7
185,268250,5680,9
186,96729,5680,9
187,78297,5680,9
188,14687,5680,8
189,234582,5680,7
190,83609,5680,10
191,56117,5680,6
192,16851,5680,8
193,229894,5680,10
194,77261,5680,9
195,279359,5680,5
196,238931,5680,9
197,239347,5680,7
198,242963,5680,8
199,246821,5680,6
200,249488,5680,8
201,236853,5680,9
202,235738,5680,10
203,223802,5680,9
204,212071,5680,6
205,104277,5680,8
206,113407,5680,10
207,157009,5680,7
208,209226,5680,8
209,158667,5680,10
210,149637,5680,10
211,53515,5680,10
212,64445,5680,9
213,30044,5680,7
214,265725,5680,9
215,270551,5680,10
216,249406,5680,10
217,25856,5680,8
218,116075,5680,10
219,198815,5680,7
220,153465,5680,8
221,226083,5680,6
222,18354,5680,8
223,101263,5680,10
224,22245,5680,9
225,192920,5680,6
226,217030,5680,10
227,75183,5680,8
228,78609,5680,10
229,188491,5680,7
230,192313,5680,8
231,186820,5680,8
232,207655,5680,10
233,20538,5680,6
234,219682,5680,10
235,235052,5680,10
236,16178,5680,9
237,17819,5680,10
238,158303,5680,8
239,17267,5680,10
240,123383,5680,9
241,26748,5680,9
242,307126,5680,8
243,252698,5680,7
244,308466,5680,10
245,78686,5680,10
246,28061,5680,10
247,206690,5680,9
248,182075,5680,10
249,17914,5680,10
250,125451,5680,8
251,24979,5680,6
252,197340,5680,5
253,70719,5680,9
254,71801,5680,10
255,218068,5680,8
256,189227,5680,8
257,119083,5680,2
258,287614,5680,7
259,216706,5680,4
260,112511,5680,8
261,15871,5680,10
262,34008,5680,10
263,72367,5680,10
264,292209,5680,8
265,156221,5680,9
266,19266,5680,9
267,28120,5680,10
268,178926,5680,9
269,64813,5680,9
270,63241,552,9
271,85883,552,10
272,131145,552,6
273,264077,552,5
274,32714,552,6
275,313636,552,3
276,35266,552,9
277,75229,552,9
278,87151,552,9
279,300631,38145,8
280,301812,38145,7
281,304129,38145,7
282,119595,5680,8
283,171741,5680,8
284,143997,5680,9
285,280121,5680,9
286,307428,5680,9
287,308593,5680,9
288,309739,5680,3
289,282819,5680,9
290,310968,5680,10
291,312840,5680,3
292,313847,5680,9
293,165735,5680,9
294,16982,5680,8
295,46869,5680,2
296,21984,5680,9
297,178868,5680,8
298,83811,5680,7
299,25818,5680,9
300,24936,5680,10
301,15282,5680,10
302,194645,552,10
303,213008,552,7
304,166113,552,7
305,208601,552,5
306,119179,552,3
307,284424,552,7
308,94199,552,8
309,204770,552,9
310,60275,552,8
311,317091,552,10
312,47087,552,7
313,114211,552,10
314,65977,552,8
315,14028,552,9
316,131481,552,10
317,244097,552,9
318,310212,552,8
319,304502,38145,7
320,304531,38145,10
321,305320,38145,7
322,305437,38145,7
323,307262,38145,7
324,308117,38145,8
325,308797,38145,6
326,310617,38145,9
327,315156,38145,10
328,318686,38145,9
329,319743,38145,7
330,323221,38145,8
331,304504,38145,9
332,304756,38145,8
333,305417,38145,9
334,306832,38145,7
335,322762,38145,10
336,304488,38145,10
337,305096,38145,7
338,306767,38145,10
339,214165,31637,7
340,227788,31637,6
341,246299,31637,5
342,247109,31637,10
343,252284,31637,8
344,263309,31637,8
345,272656,31637,7
346,214396,31637,6
347,227207,31637,5
348,226575,31637,6
